#ra, dec, redshift, g_ab, r_ab, i_ab, z_ab, absmag_r_total, bulge_n, disk_n, BulgeHalfLightRadius, gal_type, mass_stellar, mass_halo
10.0041, 0.0046, 1.6937, 23.3933, 23.4922, 22.7489, 22.5262, -23.4983, 4.0000, 1.0000, 0.9959, nan, 5.1308, 87.2706
10.0051, 0.0042, 3.1707, 27.1005, 27.0227, 27.0781, 27.1164, -19.7980, 4.0000, 1.0000, 0.0000, nan, 0.0702, 6.7131
10.0026, 0.0031, 2.2967, 24.6469, 24.6530, 24.7471, 24.6381, -22.7128, 4.0000, 1.0000, 0.2542, nan, 1.8197, 68.5083
10.0021, 0.0036, 0.3564, 26.8144, 25.7122, 25.4040, 25.2414, -16.1178, 4.0000, 1.0000, 0.0000, nan, 0.0060, 1.5492
10.0050, 0.0026, 1.1076, 26.4458, 26.4741, 26.3028, 25.7518, -18.3010, 4.0000, 1.0000, 0.0000, nan, 0.0238, 3.2705
10.0036, 0.0027, 2.1341, 27.3145, 27.4347, 27.4204, 27.2223, -19.1513, 4.0000, 1.0000, 0.0000, nan, 0.0457, 5.1639
10.0047, 0.0017, 1.2936, 26.2491, 25.7855, 25.3211, 24.8432, -22.1805, 4.0000, 1.0000, 0.3054, nan, 1.9003, 40.8812
10.0047, 0.0020, 1.7102, 27.6917, 27.8839, 27.3413, 27.0784, -20.0565, 4.0000, 1.0000, 0.0000, nan, 0.2023, 9.3812
10.0043, 0.0036, 1.4759, 27.4912, 27.4781, 27.3041, 27.3003, -17.3694, 4.0000, 1.0000, 0.0000, nan, 0.0040, 2.0656
10.0045, 0.0028, 2.4603, 26.0275, 25.9227, 26.3520, 26.0339, -19.9951, 4.0000, 1.0000, 0.0000, nan, 0.0643, 14.9754
10.0037, 0.0034, 2.4317, 27.5401, 27.5131, 27.6552, 27.5900, -19.1769, 4.0000, 1.0000, 0.0000, nan, 0.0614, 6.1967
10.0211, 0.0001, 2.0812, 26.8023, 26.8984, 26.9562, 26.8988, -19.4189, 4.0000, 1.0000, 0.0000, nan, 0.0665, 7.1435
10.0197, 0.0005, 2.8731, 27.2208, 27.0095, 27.0458, 27.1131, -20.7861, 4.0000, 1.0000, 0.0000, nan, 0.2863, 13.4262
10.0169, 0.0030, 2.0041, 27.4403, 27.3991, 27.2856, 26.8793, -20.9309, 4.0000, 1.0000, 0.1001, nan, 0.7136, 4.9918
10.0170, 0.0035, 0.7553, 25.8334, 25.4388, 24.7020, 24.4767, -19.1039, 4.0000, 1.0000, 0.0000, nan, 0.1112, 6.6271
10.0186, 0.0031, 1.9095, 26.7603, 26.9356, 26.8006, 26.6337, -19.8038, 4.0000, 1.0000, 0.0000, nan, 0.1158, 8.0041
10.0176, 0.0033, 1.1545, 25.9600, 25.7231, 25.4884, 24.8502, -19.6451, 4.0000, 1.0000, 0.0000, nan, 0.1100, 10.8443
10.0180, 0.0005, 1.8915, 25.2250, 25.2765, 25.3469, 25.2536, -21.2157, 4.0000, 1.0000, 0.0000, nan, 0.3546, 26.5943
10.0176, 0.0013, 0.1324, 20.0530, 19.4667, 19.1760, 18.9676, -20.0629, 4.0000, 1.0000, 0.3071, nan, 0.5189, 15.3197
10.0170, 0.0013, 2.1650, 27.1757, 27.2659, 27.3328, 27.2271, -19.2788, 4.0000, 1.0000, 0.0000, nan, 0.0438, 6.1107
10.0190, 0.0013, 0.4692, 26.3046, 25.9722, 25.8661, 25.7753, -16.2039, 4.0000, 1.0000, 0.0000, nan, 0.0041, 3.0123
10.0189, 0.0012, 0.8920, 25.2845, 24.9680, 24.3251, 24.0754, -19.4846, 4.0000, 1.0000, 0.0000, nan, 0.0877, 12.9959
10.0183, 0.0026, 0.3685, 26.8001, 25.7183, 25.4592, 25.3221, -16.1085, 4.0000, 1.0000, 0.0000, nan, 0.0082, 2.6680
10.0187, 0.0020, 2.8125, 27.7882, 27.2628, 27.5747, 27.7831, -18.9535, 4.0000, 1.0000, 0.0000, nan, 0.0303, 1.7213
10.0113, 0.0092, 1.8915, 26.1014, 26.2171, 26.1370, 25.9552, -20.8600, 4.0000, 1.0000, 0.0000, nan, 0.4497, 17.7295
10.0120, 0.0095, 0.8260, 25.8595, 25.3190, 24.4908, 24.1583, -19.6711, 4.0000, 1.0000, 0.0355, nan, 0.2220, 10.2418
10.0114, 0.0096, 1.1147, 26.7510, 26.2695, 25.7032, 24.9476, -20.0987, 4.0000, 1.0000, 0.0000, nan, 0.3235, 8.1762
10.0124, 0.0063, 1.5265, 26.5379, 26.5771, 26.3797, 26.2607, -19.4368, 4.0000, 1.0000, 0.0000, nan, 0.0742, 8.0041
10.0110, 0.0076, 0.4523, 23.2140, 21.7282, 21.0394, 20.6663, -21.4488, 4.0000, 1.0000, 0.6920, nan, 3.0068, 443.7546
10.0159, 0.0058, 0.8143, 23.0758, 22.8325, 22.1364, 21.8539, -21.6993, 4.0000, 1.0000, 0.3094, nan, 1.1880, 40.7091
10.0154, 0.0064, 0.6986, 27.1814, 26.4990, 25.7577, 25.5616, -17.6166, 4.0000, 1.0000, 0.0000, nan, 0.0320, 3.3566
10.0158, 0.0056, 1.4774, 26.2857, 26.2306, 26.0500, 26.0146, -19.5154, 4.0000, 1.0000, 0.0000, nan, 0.0398, 3.7008
10.0139, 0.0065, 0.9908, 26.7670, 26.5193, 26.0132, 25.5240, -18.5314, 4.0000, 1.0000, 0.0000, nan, 0.0548, 5.3361
10.0132, 0.0066, 1.4760, 25.1067, 25.1416, 24.9910, 24.8683, -20.6830, 4.0000, 1.0000, 0.0000, nan, 0.2486, 20.7418
10.0137, 0.0070, 1.7540, 23.3156, 23.5683, 23.3140, 23.3050, -21.8967, 4.0000, 1.0000, 0.1277, nan, 0.4682, 19.6230
10.0131, 0.0072, 0.4073, 25.8479, 24.2898, 23.6040, 23.2226, -18.8955, 4.0000, 1.0000, 0.3447, nan, 0.3357, 2.7541
10.0133, 0.0004, 0.8047, 25.1079, 24.6689, 23.8543, 23.5593, -20.1218, 4.0000, 1.0000, 0.0000, nan, 0.2015, 7.3156
10.0115, 0.0017, 1.2506, 26.5242, 26.5161, 26.3258, 25.8033, -19.0292, 4.0000, 1.0000, 0.0000, nan, 0.0557, 6.1107
9.9997, 0.0021, 1.8582, 26.1599, 26.2976, 25.9507, 25.6202, -21.7588, 4.0000, 1.0000, 0.1240, nan, 1.0230, 28.5738
9.9985, 0.0000, 2.3122, 27.9605, 27.9343, 27.9732, 27.8939, -19.5938, 4.0000, 1.0000, 0.0000, nan, 0.1343, 6.7992
9.9981, 0.0001, 1.8006, 25.0707, 25.1262, 25.1734, 25.0720, -21.2250, 4.0000, 1.0000, 0.0614, nan, 0.3046, 4.9057
9.9986, 0.0007, 0.8895, 25.1543, 24.9646, 24.3565, 23.9687, -19.8728, 4.0000, 1.0000, 0.1559, nan, 0.2180, 10.4139
9.9997, 0.0043, 1.3103, 25.5215, 25.4376, 25.1038, 24.7101, -21.1311, 4.0000, 1.0000, 0.0586, nan, 0.5620, 23.4959
9.9997, 0.0042, 0.8262, 26.8758, 26.3304, 25.4644, 25.1088, -18.5511, 4.0000, 1.0000, 0.0000, nan, 0.0620, 2.1516
9.9985, 0.0037, 1.1484, 25.5274, 25.4551, 25.2803, 24.6504, -19.6073, 4.0000, 1.0000, 0.0000, nan, 0.0675, 4.4754
9.9988, 0.0028, 0.4691, 28.2604, 26.8987, 26.2231, 25.8752, -16.7246, 4.0000, 1.0000, 0.0000, nan, 0.0163, 2.0656
9.9987, 0.0034, 2.0241, 26.7852, 27.1378, 26.9704, 26.7717, -18.7648, 4.0000, 1.0000, 0.0000, nan, 0.0164, 2.4098
9.9989, 0.0033, 1.3214, 26.9252, 26.9047, 26.5892, 26.2055, -19.3270, 4.0000, 1.0000, 0.0000, nan, 0.1184, 6.6271
9.9951, 0.0006, 1.0550, 26.5859, 26.4677, 26.3817, 26.1073, -17.8295, 4.0000, 1.0000, 0.0000, nan, 0.0127, 1.2910
9.9957, 0.0006, 1.2359, 26.2977, 25.6979, 25.2267, 24.6871, -21.8561, 4.0000, 1.0000, 0.3042, nan, 1.4440, 34.5123
9.9969, 0.0015, 1.3297, 27.3522, 27.1738, 26.9590, 26.6100, -18.8263, 4.0000, 1.0000, 0.0000, nan, 0.0348, 3.5287
9.9980, 0.0012, 1.0408, 28.1123, 27.7930, 27.2784, 26.6203, -17.8983, 4.0000, 1.0000, 0.0000, nan, 0.0358, 3.3566
9.9986, 0.0015, 2.7514, 26.3630, 26.2342, 26.3238, 26.3720, -21.2198, 4.0000, 1.0000, 0.0000, nan, 0.4139, 17.5574
9.9999, 0.0108, 0.7216, 26.0417, 25.6900, 25.0307, 24.8698, -18.4551, 4.0000, 1.0000, 0.0000, nan, 0.0546, 5.5943
9.9995, 0.0097, 0.6501, 28.6151, 27.1616, 26.1914, 25.8090, -17.3659, 4.0000, 1.0000, 0.0000, nan, 0.0527, 1.9795
9.9984, 0.0084, 0.9693, 27.8676, 27.6382, 27.0909, 26.6128, -17.4270, 4.0000, 1.0000, 0.0000, nan, 0.0239, 3.0123
9.9956, 0.0060, 1.0055, 27.9792, 27.7195, 27.5233, 27.2524, -16.6849, 4.0000, 1.0000, 0.0000, nan, 0.0062, 1.8934
9.9961, 0.0062, 0.8262, 28.1140, 26.5338, 25.4360, 24.8166, -19.1709, 4.0000, 1.0000, 0.0763, nan, 0.2728, 2.9262
9.9981, 0.0064, 1.8577, 27.0436, 27.2806, 26.6685, 26.3029, -22.2493, 4.0000, 1.0000, 0.1032, nan, 1.7152, 38.3853
9.9979, 0.0062, 0.9935, 25.9715, 25.8994, 25.4965, 25.0237, -19.2183, 4.0000, 1.0000, 0.0000, nan, 0.0634, 4.4754
9.9997, 0.0081, 0.6677, 28.9884, 27.7377, 26.9496, 26.7424, -16.2593, 4.0000, 1.0000, 0.0000, nan, 0.0068, 2.8402
9.9991, 0.0077, 1.1080, 26.8118, 26.7892, 26.5558, 25.9722, -18.2739, 4.0000, 1.0000, 0.0000, nan, 0.0300, 4.5615
9.9983, 0.0072, 2.7200, 27.9515, 27.4605, 27.6108, 27.5712, -22.1400, 4.0000, 1.0000, 0.1877, nan, 0.9324, 32.4468
9.9910, 0.0009, 2.2408, 26.9222, 26.8803, 26.9543, 26.4871, -20.3815, 4.0000, 1.0000, 0.0377, nan, 0.1454, 9.8115
9.9934, 0.0002, 1.7354, 27.0482, 27.1320, 27.1570, 27.0739, -18.8164, 4.0000, 1.0000, 0.0000, nan, 0.0352, 3.5287
9.9940, 0.0004, 1.7752, 27.5634, 27.3045, 27.0177, 26.5922, -19.8681, 4.0000, 1.0000, 0.0000, nan, 0.1249, 4.1312
9.9942, 0.0047, 0.1637, 25.2303, 24.8349, 24.7219, 24.6588, -14.8558, 4.0000, 1.0000, 0.0000, nan, 0.0012, 1.8074
9.9919, 0.0028, 0.9566, 25.8291, 25.0643, 24.3666, 23.8081, -21.3500, 4.0000, 1.0000, 0.1139, nan, 0.9787, 27.4549
9.9941, 0.0037, 1.7160, 25.3734, 25.4564, 25.3728, 25.2136, -21.1533, 4.0000, 1.0000, 0.0408, nan, 0.5802, 20.9140
9.9926, 0.0016, 0.8561, 28.6196, 27.9629, 27.0925, 26.6299, -17.1784, 4.0000, 1.0000, 0.0000, nan, 0.0229, 1.8934
9.9950, 0.0047, 2.3850, 25.6276, 25.3621, 25.6644, 25.0825, -23.6656, 4.0000, 1.0000, 0.4895, nan, 5.7560, 133.6600
9.9953, 0.0050, 1.3538, 27.5506, 27.2832, 26.8024, 26.3823, -19.7635, 4.0000, 1.0000, 0.0000, nan, 0.1697, 6.2828
9.9955, 0.0054, 2.2505, 26.8569, 26.8033, 26.8935, 26.4241, -20.5635, 4.0000, 1.0000, 0.0000, nan, 0.1721, 7.2295
9.9952, 0.0052, 0.9478, 25.8493, 25.9870, 25.8724, 25.7296, -17.7924, 4.0000, 1.0000, 0.0000, nan, 0.0100, 1.8934
9.9946, 0.0039, 2.8046, 28.2192, 27.7572, 28.0664, 28.2472, -18.7696, 4.0000, 1.0000, 0.0000, nan, 0.0184, 2.1516
9.9963, 0.0049, 1.3448, 26.0791, 26.1759, 26.1085, 25.8651, -19.1492, 4.0000, 1.0000, 0.0000, nan, 0.0409, 6.5410
10.0009, -0.0016, 2.0853, 26.9232, 27.1956, 27.1683, 26.9969, -18.2193, 4.0000, 1.0000, 0.0000, nan, 0.0116, 4.0451
10.0008, -0.0011, 2.0226, 27.2311, 27.3481, 27.1831, 26.8807, -20.2697, 4.0000, 1.0000, 0.0000, nan, 0.2290, 10.0697
10.0007, -0.0047, 2.1048, 26.7543, 27.0104, 27.0351, 26.8870, -18.4440, 4.0000, 1.0000, 0.0000, nan, 0.0166, 4.0451
10.0014, -0.0030, 2.9229, 23.5365, 23.5550, 23.6374, 23.6695, -22.1566, 4.0000, 1.0000, 0.1220, nan, 0.3564, 20.1394
10.0016, -0.0032, 2.1788, 26.4399, 26.5609, 26.5627, 26.1826, -20.7345, 4.0000, 1.0000, 0.0000, nan, 0.2216, 12.9099
10.0002, -0.0034, 0.4070, 26.5152, 25.1623, 24.6137, 24.3176, -17.4451, 4.0000, 1.0000, 0.0385, nan, 0.0560, 1.7213
10.0042, -0.0009, 0.5262, 23.0558, 22.3642, 22.0937, 21.9929, -20.3030, 4.0000, 1.0000, 0.2037, nan, 0.1973, 10.4139
10.0031, -0.0000, 0.7074, 27.9388, 26.8037, 25.9070, 25.7181, -17.4115, 4.0000, 1.0000, 0.0000, nan, 0.0148, 2.0656
10.0030, -0.0018, 2.3425, 27.3927, 27.3351, 27.4614, 27.2621, -20.1544, 4.0000, 1.0000, 0.0000, nan, 0.1515, 10.6721
10.0034, -0.0012, 2.3007, 27.9496, 27.9239, 27.9946, 27.8466, -19.4153, 4.0000, 1.0000, 0.1670, nan, 0.0926, 6.4549
10.0032, -0.0011, 2.7600, 27.3542, 27.3754, 27.4051, 27.4576, -19.8183, 4.0000, 1.0000, 0.0000, nan, 0.1236, 6.7131
10.0026, -0.0003, 2.3027, 27.9374, 27.9420, 28.0398, 27.9336, -19.4975, 4.0000, 1.0000, 0.0000, nan, 0.0937, 4.9057
10.0026, -0.0013, 1.7303, 25.4231, 25.4290, 25.3483, 25.0966, -21.3298, 4.0000, 1.0000, 0.0677, nan, 0.6816, 31.4140
10.0025, -0.0011, 1.9133, 27.7420, 27.8242, 27.9063, 27.8648, -18.0903, 4.0000, 1.0000, 0.0000, nan, 0.0164, 3.4426
10.0002, -0.0105, 0.4774, 28.0512, 26.5347, 25.8182, 25.4401, -16.9899, 4.0000, 1.0000, 0.0000, nan, 0.0440, 2.2377
10.0006, -0.0097, 0.1621, 26.3810, 26.8761, 27.1763, 27.3953, -12.3043, 4.0000, 1.0000, 0.0000, nan, 0.0000, 2.1516
10.0020, -0.0084, 1.4083, 26.5539, 26.6526, 26.5621, 26.3996, -18.8976, 4.0000, 1.0000, 0.0000, nan, 0.0448, 7.4016
10.0005, -0.0089, 0.5070, 26.4621, 25.1288, 24.7179, 24.5468, -17.6890, 4.0000, 1.0000, 0.0000, nan, 0.0225, 5.9385
10.0002, -0.0095, 2.0489, 26.9611, 27.2792, 27.2000, 27.0375, -18.3053, 4.0000, 1.0000, 0.0000, nan, 0.0132, 6.4549
10.0011, -0.0092, 1.3172, 27.5779, 27.5953, 27.6854, 27.6470, -16.3406, 4.0000, 1.0000, 0.0000, nan, 0.0012, 2.0656
10.0053, -0.0056, 1.6374, 27.0133, 27.2496, 26.7744, 26.7205, -18.5156, 4.0000, 1.0000, 0.0000, nan, 0.0270, 4.8197
